	Rsem_log_q_200_f
TCGA-E9-A1NI-01A-11R-A14D-07	0.285605
TCGA-BH-A1F5-01A-12R-A13Q-07	0.5656306
TCGA-BH-A18P-11A-43R-A12D-07	0.3806758
TCGA-BH-A1FL-01A-11R-A13Q-07	0.6168173
TCGA-GM-A2DN-01A-11R-A180-07	0.1013802
TCGA-AC-A2BK-01A-11R-A21T-07	0.7299657
TCGA-A2-A04X-01A-21R-A034-07	0.1993418
TCGA-AR-A0TX-01A-11R-A084-07	0.3742065
TCGA-D8-A27T-01A-11R-A16F-07	0.0901834
TCGA-D8-A1JJ-01A-31R-A14M-07	0.1941839
TCGA-C8-A1HG-01A-11R-A137-07	0.0968589
TCGA-S3-A6ZG-01A-22R-A32P-07	0.3828264
TCGA-A2-A0T4-01A-31R-A084-07	0.1485473
TCGA-B6-A0I6-01A-11R-A034-07	0.2918596
TCGA-A8-A099-01A-11R-A00Z-07	0.562873
TCGA-BH-A0DV-11A-22R-A12P-07	0.7744218
TCGA-A7-A425-01A-11R-A24H-07	0.2588952
TCGA-C8-A12L-01A-11R-A115-07	0.7872307
TCGA-D8-A27F-01A-11R-A16F-07	0.4178686
TCGA-E9-A248-01A-11R-A169-07	0.1971698
TCGA-E9-A5UP-01A-11R-A28M-07	0.1842763
TCGA-A7-A0CH-01A-21R-A00Z-07	0.4937344
TCGA-A8-A08L-01A-11R-A00Z-07	0.4987932
TCGA-A8-A07O-01A-11R-A00Z-07	0.0422328
TCGA-BH-A18L-11A-42R-A12D-07	0.1708897
TCGA-AO-A0JD-01A-11R-A056-07	0.1503165
TCGA-EW-A1OY-01A-11R-A144-07	0.1675516
TCGA-A7-A0DB-01A-11R-A00Z-07	0.5666041
TCGA-D8-A1XQ-01A-11R-A14M-07	0.0751645
TCGA-A8-A07B-01A-11R-A00Z-07	0.1808669
TCGA-AN-A0XL-01A-11R-A10J-07	0.3590514
TCGA-BH-A0DV-01A-21R-A12P-07	0.3118769
TCGA-BH-A0W3-01A-11R-A109-07	0.5044198
TCGA-OL-A66L-01A-12R-A31O-07	0.3487642
TCGA-A1-A0SG-01A-11R-A144-07	0.8147782
TCGA-A8-A06Q-01A-11R-A034-07	0.620633
TCGA-AO-A03T-01A-21R-A034-07	0.3097054
TCGA-B6-A0RL-01A-11R-A084-07	0.7879604
TCGA-E2-A10E-01A-21R-A10J-07	0.1985396
TCGA-E9-A1NH-01A-11R-A14D-07	0.4206651
TCGA-C8-A12K-01A-21R-A115-07	0.0166348
TCGA-BH-A0BR-01A-21R-A115-07	0.3492396
TCGA-E9-A1N6-11A-32R-A144-07	0.3482186
TCGA-AQ-A7U7-01A-22R-A352-07	0.028596
TCGA-AO-A0JC-01A-11R-A056-07	0.0360981
TCGA-BH-A0DL-01A-11R-A115-07	0.0135553
TCGA-E2-A10A-01A-21R-A115-07	0.2580051
TCGA-BH-A0BS-11A-11R-A12P-07	0.8045471
TCGA-E9-A1R4-01A-21R-A14D-07	0.1240561
TCGA-D8-A140-01A-11R-A115-07	0.0917847
TCGA-LD-A74U-01A-13R-A33J-07	0.3090101
TCGA-D8-A1XS-01A-11R-A14M-07	0.2501975
TCGA-EW-A1PG-01A-11R-A144-07	0.4468075
TCGA-BH-A18Q-11A-34R-A12D-07	0.3103945
TCGA-A2-A1G1-01A-21R-A13Q-07	0.6149795
TCGA-D8-A27H-01A-11R-A16F-07	0.4922934
TCGA-AN-A0AR-01A-11R-A00Z-07	0.7077444
TCGA-E2-A576-01A-11R-A31O-07	0.6678559
TCGA-E2-A15K-01A-11R-A12P-07	0.3819598
TCGA-C8-A132-01A-31R-A115-07	0.7195309
TCGA-E2-A1IJ-01A-11R-A144-07	0.1467215
TCGA-E9-A1R7-11A-42R-A14M-07	0.0936338
TCGA-A8-A08Z-01A-21R-A00Z-07	0.0447698
TCGA-E9-A244-01A-11R-A169-07	0.5885264
TCGA-A8-A06Y-01A-21R-A00Z-07	0.7268752
TCGA-AN-A0XP-01A-11R-A109-07	0.2328799
TCGA-A8-A07S-01A-11R-A034-07	0.4254261
TCGA-AO-A129-01A-21R-A10J-07	0.1576537
TCGA-A1-A0SD-01A-11R-A115-07	0.3870638
TCGA-AR-A5QQ-01A-11R-A28M-07	0.0445481
TCGA-EW-A1P0-01A-11R-A144-07	0.2034849
TCGA-A8-A0A9-01A-11R-A00Z-07	0.1592628
TCGA-A2-A3XZ-01A-42R-A239-07	0.7019834
TCGA-B6-A0RM-01A-11R-A084-07	0.1989349
TCGA-B6-A0RQ-01A-11R-A115-07	0.8387213
TCGA-A7-A426-01A-22R-A24H-07	0.4536447
TCGA-A8-A097-01A-11R-A034-07	0.2938886
TCGA-D8-A27P-01A-11R-A16F-07	0.8090677
TCGA-BH-A204-01A-11R-A157-07	0.6325499
TCGA-OL-A6VR-01A-32R-A33J-07	0.8423214
TCGA-A8-A07C-01A-11R-A034-07	0.1430717
TCGA-EW-A424-01A-11R-A24H-07	0.6104474
TCGA-E2-A15C-01A-31R-A12D-07	0.3128571
TCGA-B6-A0I9-01A-11R-A034-07	0.7982352
TCGA-E9-A1N5-01A-11R-A14D-07	0.116507
TCGA-BH-A1FH-11B-42R-A13Q-07	0.145428
TCGA-A8-A09E-01A-11R-A00Z-07	0.5388805
TCGA-A2-A0CW-01A-21R-A115-07	0.3664679
TCGA-E9-A1RI-01A-11R-A169-07	0.3192417
TCGA-A8-A075-01A-11R-A084-07	0.3329198
TCGA-LL-A6FR-01A-12R-A31O-07	0.7704583
TCGA-AR-A0TZ-01A-12R-A084-07	0.3586954
TCGA-C8-A1HO-01A-11R-A13Q-07	0.0892173
TCGA-E2-A1IG-11A-22R-A144-07	0.3774236
TCGA-A2-A0YM-01A-11R-A109-07	0.1090489
TCGA-A7-A0CD-01A-11R-A00Z-07	0.689726
TCGA-BH-A0HL-01A-11R-A10U-07	0.671883
TCGA-E2-A10C-01A-21R-A10J-07	0.3124075
TCGA-AQ-A04L-01B-21R-A10J-07	0.2877416
TCGA-A7-A3J0-01A-11R-A213-07	0.3795013
TCGA-AN-A0FZ-01A-11R-A034-07	0.8193451
TCGA-E9-A22D-01A-11R-A157-07	0.124108
TCGA-AO-A0J6-01A-11R-A034-07	0.0806115
TCGA-AC-A2FK-01A-12R-A180-07	0.385295
TCGA-D8-A27M-01A-11R-A16F-07	0.0539541
TCGA-AO-A1KQ-01A-11R-A13Q-07	0.1222301
TCGA-E2-A14U-01A-11R-A22K-07	0.828832
TCGA-AC-A3YI-01A-21R-A239-07	0.1939703
TCGA-AN-A046-01A-21R-A034-07	0.064692
TCGA-BH-A18M-11A-33R-A12D-07	0.1519722
TCGA-GI-A2C8-01A-11R-A16F-07	0.0740431
TCGA-EW-A1OW-01A-21R-A144-07	0.2662681
TCGA-AN-A0XT-01A-11R-A109-07	0.3739387
TCGA-B6-A0X0-01A-21R-A115-07	0.6264468
TCGA-AO-A12E-01A-11R-A10J-07	0.3533358
TCGA-BH-A0BJ-01A-11R-A056-07	0.3979651
TCGA-BH-A8FZ-01A-11R-A352-07	0.0967599
TCGA-A2-A0CZ-01A-11R-A034-07	0.1919271
TCGA-AC-A2FE-01A-11R-A19W-07	0.0540168
TCGA-OL-A5RY-01A-21R-A28M-07	0.7907774
TCGA-E2-A3DX-01A-21R-A213-07	0.391252
TCGA-B6-A0I5-01A-11R-A034-07	0.3404447
TCGA-BH-A0EE-01A-11R-A034-07	0.1277891
TCGA-C8-A12W-01A-11R-A115-07	0.7933509
TCGA-B6-A0RV-01A-11R-A084-07	0.2001882
TCGA-E9-A22A-01A-11R-A157-07	0.0856444
TCGA-A2-A0D4-01A-11R-A00Z-07	0.8274781
TCGA-AC-A6IV-01A-12R-A33J-07	0.0668756
TCGA-E2-A107-01A-11R-A10J-07	0.8709994
TCGA-AC-A23E-01A-11R-A157-07	0.3824115
TCGA-D8-A1XL-01A-11R-A14M-07	0.1472979
TCGA-AN-A0XR-01A-11R-A109-07	0.1375584
TCGA-D8-A1JI-01A-11R-A13Q-07	0.4602139
TCGA-E2-A14O-01A-31R-A115-07	0.4244594
TCGA-A2-A1FZ-01A-51R-A14D-07	0.4892159
TCGA-A1-A0SF-01A-11R-A144-07	0.775755
TCGA-AC-A23H-01A-11R-A157-07	0.8480045
TCGA-AR-A0TU-01A-31R-A109-07	0.0392432
TCGA-BH-A18V-11A-52R-A12D-07	0.5682518
TCGA-E9-A295-01A-11R-A16F-07	0.420581
TCGA-BH-A1FJ-01A-11R-A13Q-07	0.4686307
TCGA-A2-A0SX-01A-12R-A084-07	0.0465559
TCGA-AR-A24U-01A-11R-A169-07	0.1963833
TCGA-AN-A0FL-01A-11R-A034-07	0.523812
TCGA-AN-A0FS-01A-11R-A034-07	0.5472891
TCGA-AR-A24V-01A-21R-A169-07	0.1559671
TCGA-GM-A3XL-01A-11R-A22U-07	0.0733331
TCGA-A7-A26F-01A-21R-A169-07	0.0399977
TCGA-B6-A401-01A-11R-A239-07	0.3042827
TCGA-E2-A1B1-01A-21R-A12P-07	0.3184304
TCGA-EW-A6SA-01A-21R-A32P-07	0.8456089
TCGA-A2-A0D2-01A-21R-A034-07	0.4842193
TCGA-BH-A0BQ-01A-21R-A115-07	0.1786608
TCGA-BH-A0B7-01A-12R-A115-07	0.5868248
TCGA-E9-A1R6-01A-11R-A14D-07	0.7052428
TCGA-A7-A0CG-01A-12R-A056-07	0.2107281
TCGA-BH-A0DQ-11A-12R-A089-07	0.3624686
TCGA-D8-A1X9-01A-12R-A157-07	0.2178037
TCGA-B6-A0RT-01A-21R-A084-07	0.0442795
TCGA-D8-A27G-01A-11R-A16F-07	0.3619967
TCGA-EW-A2FR-01A-11R-A21T-07	0.857677
TCGA-BH-A6R8-01A-21R-A33J-07	0.1382918
TCGA-AR-A2LL-01A-11R-A180-07	0.4862573
TCGA-A8-A09Z-01A-11R-A00Z-07	0.1162743
TCGA-A2-A4S2-01A-12R-A266-07	0.1551425
TCGA-BH-A18Q-01A-12R-A12D-07	0.2025086
TCGA-C8-A137-01A-11R-A115-07	0.8686744
TCGA-BH-A1FE-01A-11R-A13Q-07	0.2736895
TCGA-AR-A24O-01A-11R-A169-07	0.2254599
TCGA-A2-A1G4-01A-11R-A13Q-07	0.764606
TCGA-E2-A1IH-01A-11R-A13Q-07	0.0756481
TCGA-D8-A1Y1-01A-21R-A14M-07	0.4226991
TCGA-AO-A0J9-01A-11R-A034-07	0.0741911
TCGA-E2-A1B4-01A-11R-A12P-07	0.6365861
TCGA-A7-A0CE-11A-21R-A089-07	0.4361405
TCGA-OL-A5RV-01A-12R-A28M-07	0.8214346
TCGA-E2-A15F-01A-11R-A115-07	0.2417497
TCGA-B6-A0IQ-01A-11R-A034-07	0.2029176
TCGA-A2-A3XU-01A-12R-A22U-07	0.7786426
TCGA-C8-A12X-01A-11R-A115-07	0.0956945
TCGA-E9-A226-01A-21R-A157-07	0.2248222
TCGA-A2-A1FW-01A-11R-A13Q-07	0.3616693
TCGA-A8-A084-01A-21R-A00Z-07	0.1318981
TCGA-E9-A227-01A-11R-A157-07	0.2303938
TCGA-BH-A42V-01A-11R-A24H-07	0.2116987
TCGA-A7-A6VY-01A-12R-A33J-07	0.0494049
TCGA-A8-A082-01A-11R-A00Z-07	0.7798863
TCGA-C8-A133-01A-32R-A12D-07	0.3832985
TCGA-D8-A1XM-01A-21R-A14M-07	0.2465011
TCGA-C8-A135-01A-11R-A115-07	0.4949911
TCGA-BH-A1FJ-11B-42R-A13Q-07	0.0978492
TCGA-BH-A0B7-11A-34R-A115-07	0.6621193
TCGA-A2-A0SY-01A-31R-A084-07	0.5101841
TCGA-A8-A09G-01A-21R-A00Z-07	0.3865899
TCGA-BH-A0BZ-01A-31R-A12P-07	0.2233661
TCGA-A2-A0CQ-01A-21R-A034-07	0.2048064
TCGA-BH-A0BC-11A-22R-A089-07	0.206054
TCGA-AN-A0FD-01A-11R-A034-07	0.0856344
TCGA-A2-A0YL-01A-21R-A109-07	0.277614
TCGA-A2-A0YJ-01A-11R-A109-07	0.8463353
TCGA-D8-A1JT-01A-31R-A13Q-07	0.072499
TCGA-AO-A0JF-01A-11R-A056-07	0.1302266
TCGA-AO-A12G-01A-11R-A10J-07	0.6647985
TCGA-BH-A0BF-01A-21R-A12P-07	0.0302031
TCGA-AO-A03L-01A-41R-A056-07	0.5602106
TCGA-E2-A1IF-01A-11R-A144-07	0.3782597
TCGA-AN-A0FW-01A-11R-A034-07	0.5336378
TCGA-A8-A07E-01A-11R-A034-07	0.1062292
TCGA-A7-A4SB-01A-21R-A266-07	0.6093809
TCGA-BH-A0B5-11A-23R-A12P-07	0.0813869
TCGA-A8-A08X-01A-21R-A00Z-07	0.258625
TCGA-BH-A0BS-01A-11R-A12P-07	0.7740448
TCGA-A2-A04P-01A-31R-A034-07	0.058163
TCGA-AO-A03V-01A-11R-A115-07	0.6664638
TCGA-AC-A2FF-11A-13R-A17B-07	0.3462649
TCGA-W8-A86G-01A-21R-A36F-07	0.7577167
TCGA-E2-A15J-01A-11R-A12P-07	0.589923
TCGA-AR-A24S-01A-11R-A169-07	0.040697
TCGA-EW-A3E8-01B-11R-A24H-07	0.1771021
TCGA-BH-A0E7-01A-11R-A034-07	0.7320235
TCGA-A7-A56D-01A-11R-A27Q-07	0.3505543
TCGA-PE-A5DD-01A-12R-A27Q-07	0.3463588
TCGA-BH-A0H0-01A-11R-A056-07	0.6365566
TCGA-BH-A5IZ-01A-11R-A27Q-07	0.2653146
TCGA-EW-A1PH-01A-11R-A14M-07	0.1611435
TCGA-EW-A1PC-01B-11R-A21T-07	0.3413569
TCGA-BH-A0BL-01A-11R-A115-07	0.1343983
TCGA-BH-A1FM-11B-23R-A13Q-07	0.2420083
TCGA-E9-A1NF-11A-73R-A14D-07	0.0169505
TCGA-BH-A1FG-01A-11R-A13Q-07	0.3878907
TCGA-A8-A08R-01A-11R-A034-07	0.060843
TCGA-A2-A0EN-01A-13R-A084-07	0.0227021
TCGA-A7-A13D-01A-13R-A12P-07	0.789368
TCGA-A7-A3J1-01A-11R-A213-07	0.2183586
TCGA-AO-A12C-01A-11R-A10J-07	0.8238878
TCGA-BH-A18P-01A-11R-A12D-07	0.6096265
TCGA-E2-A10B-01A-11R-A10J-07	0.2427938
TCGA-EW-A6SC-01A-12R-A32P-07	0.0811413
TCGA-B6-A0WW-01A-11R-A109-07	0.3552087
TCGA-BH-A0BA-11A-22R-A19E-07	0.2943114
TCGA-AQ-A54O-01A-11R-A266-07	0.376885
TCGA-E9-A247-01A-11R-A169-07	0.4052947
TCGA-LL-A8F5-01A-11R-A36F-07	0.3215765
TCGA-AC-A23G-01A-11R-A213-07	0.3652675
TCGA-AR-A0TV-01A-21R-A084-07	0.072789
TCGA-B6-A0X4-01A-11R-A109-07	0.6465704
TCGA-A2-A4S1-01A-21R-A266-07	0.0066617
TCGA-A8-A09M-01A-11R-A00Z-07	0.0656208
TCGA-AR-A0TS-01A-11R-A115-07	0.1304457
TCGA-AR-A2LO-01A-31R-A18M-07	0.4080742
TCGA-AC-A3W5-01A-11R-A22K-07	0.4117807
TCGA-A8-A08I-01A-11R-A00Z-07	0.0490818
TCGA-E2-A14Y-01A-21R-A12D-07	0.0974106
TCGA-A8-A06X-01A-21R-A00Z-07	0.0698922
TCGA-A7-A0DB-11A-33R-A089-07	0.013655
TCGA-AO-A12A-01A-21R-A115-07	0.1133849
TCGA-A2-A25B-01A-11R-A169-07	0.2235241
TCGA-AR-A24R-01A-11R-A169-07	0.2803098
TCGA-C8-A12Z-01A-11R-A115-07	0.8701567
TCGA-BH-A0BQ-11A-33R-A115-07	0.542614
TCGA-A2-A0YC-01A-11R-A109-07	0.2479007
TCGA-B6-A40B-01A-11R-A239-07	0.5246815
TCGA-E2-A1L6-01A-11R-A13Q-07	0.4995072
TCGA-A8-A09V-01A-11R-A034-07	0.4813028
TCGA-E9-A1RH-01A-21R-A169-07	0.3264381
TCGA-OL-A66H-01A-11R-A29R-07	0.1052957
TCGA-BH-A18V-01A-11R-A12D-07	0.0558576
TCGA-AR-A24X-01A-11R-A169-07	0.3322163
TCGA-A8-A06Z-01A-11R-A00Z-07	0.706445
TCGA-E2-A15E-01A-11R-A12D-07	0.7885851
TCGA-A2-A3XY-01A-11R-A239-07	0.0970095
TCGA-BH-A1FC-01A-11R-A13Q-07	0.0969188
TCGA-BH-A0BJ-11A-23R-A089-07	0.3165838
TCGA-D8-A1XC-01A-11R-A14D-07	0.6086844
TCGA-E2-A158-01A-11R-A12D-07	0.6113492
TCGA-A8-A09I-01A-22R-A034-07	0.3394121
TCGA-E2-A572-01A-13R-A31O-07	0.7289085
TCGA-EW-A1P3-01A-11R-A144-07	0.4909316
TCGA-OL-A66N-01A-12R-A31O-07	0.8008296
TCGA-AO-A12B-01A-11R-A10J-07	0.2797215
TCGA-B6-A0WS-01A-11R-A115-07	0.1812682
TCGA-A1-A0SI-01A-11R-A144-07	0.1166272
TCGA-A2-A0YT-01A-11R-A109-07	0.5145407
TCGA-BH-A0BV-11A-31R-A089-07	0.696779
TCGA-BH-A0DZ-01A-11R-A00Z-07	0.5561764
TCGA-AC-A3QP-01A-11R-A22U-07	0.4255082
TCGA-AR-A0U2-01A-11R-A109-07	0.7359213
TCGA-D8-A1JB-01A-11R-A13Q-07	0.2557825
TCGA-AR-A2LM-01A-11R-A180-07	0.361725
TCGA-E2-A150-01A-11R-A12D-07	0.0969757
TCGA-B6-A0IG-01A-11R-A034-07	0.6586074
TCGA-AN-A0AL-01A-11R-A00Z-07	0.0869892
TCGA-BH-A0DO-01B-11R-A12D-07	0.6337772
TCGA-EW-A3U0-01A-11R-A22K-07	0.056142
TCGA-D8-A1XT-01A-11R-A14M-07	0.3024933
TCGA-C8-A1HN-01A-11R-A137-07	0.6686719
TCGA-AO-A0J4-01A-11R-A034-07	0.1383116
TCGA-E2-A108-01A-13R-A10J-07	0.0612784
TCGA-BH-A1FN-11A-34R-A13Q-07	0.0538762
TCGA-AR-A24N-01A-11R-A169-07	0.3321767
TCGA-E2-A14Q-01A-11R-A12D-07	0.7195125
TCGA-A2-A0T2-01A-11R-A084-07	0.507855
TCGA-AR-A24M-01A-11R-A169-07	0.6180583
TCGA-AC-A2QJ-01A-12R-A19W-07	0.0561095
TCGA-E2-A15K-11A-13R-A12P-07	0.1678211
TCGA-AR-A24P-01A-11R-A169-07	0.2532153
TCGA-AR-A1AY-01A-21R-A12P-07	0.3035582
TCGA-EW-A1PE-01A-11R-A144-07	0.0565619
TCGA-E2-A15O-01A-11R-A115-07	0.2602382
TCGA-BH-A1EY-01A-11R-A13Q-07	0.1592172
TCGA-BH-A0DH-11A-31R-A089-07	0.2694869
TCGA-AO-A128-01A-11R-A10J-07	0.0100846
TCGA-AN-A0FN-01A-11R-A034-07	0.0472176
TCGA-AO-A12D-01A-11R-A115-07	0.2499918
TCGA-LL-A5YO-01A-21R-A28M-07	0.1166423
TCGA-BH-A0B5-01A-11R-A12P-07	0.5889899
TCGA-BH-A0H3-01A-11R-A12P-07	0.220829
TCGA-A8-A085-01A-11R-A00Z-07	0.836033
TCGA-D8-A143-01A-11R-A115-07	0.3730893
TCGA-A2-A0T5-01A-21R-A084-07	0.5397603
TCGA-BH-A0DK-11A-13R-A089-07	0.7292234
TCGA-E9-A1R0-01A-22R-A16F-07	0.6272185
TCGA-S3-A6ZH-01A-22R-A32P-07	0.8234426
TCGA-A2-A04U-01A-11R-A115-07	0.5857902
TCGA-D8-A1Y2-01A-11R-A157-07	0.0631073
TCGA-D8-A147-01A-11R-A115-07	0.2548799
TCGA-S3-A6ZF-01A-32R-A32P-07	0.3118783
TCGA-E9-A5UO-01A-11R-A28M-07	0.8350287
TCGA-B6-A409-01A-11R-A24H-07	0.1281961
TCGA-BH-A1EV-01A-11R-A137-07	0.7774143
TCGA-A2-A0YI-01A-31R-A10J-07	0.1136627
TCGA-BH-A18M-01A-11R-A12D-07	0.2158613
TCGA-B6-A0IN-01A-11R-A034-07	0.5753084
TCGA-A2-A0ET-01A-31R-A034-07	0.2026797
TCGA-A7-A13H-01A-11R-A22K-07	0.2048102
TCGA-A2-A0EY-01A-11R-A034-07	0.6008526
TCGA-E2-A15I-01A-21R-A137-07	0.3852638
TCGA-E9-A2JS-01A-11R-A180-07	0.3397372
TCGA-GM-A2D9-01A-11R-A18M-07	0.2727346
TCGA-XX-A89A-01A-11R-A36F-07	0.0364994
TCGA-E9-A1RF-01A-11R-A157-07	0.2327061
TCGA-AC-A6NO-01A-12R-A33J-07	0.6409103
TCGA-EW-A1PB-01A-11R-A144-07	0.012065
TCGA-D8-A27N-01A-11R-A16F-07	0.2993679
TCGA-AN-A0XO-01A-11R-A109-07	0.5343636
TCGA-A2-A25A-01A-12R-A16F-07	0.0933871
TCGA-E9-A1NC-01A-21R-A26B-07	0.1997717
TCGA-C8-A131-01A-11R-A115-07	0.1090125
TCGA-BH-A0WA-01A-11R-A109-07	0.3320359
TCGA-A2-A4RY-01A-31R-A266-07	0.4693471
TCGA-AN-A0XW-01A-11R-A109-07	0.0868134
TCGA-C8-A27A-01A-11R-A169-07	0.4450111
TCGA-C8-A26X-01A-31R-A16F-07	0.0800873
TCGA-A8-A08F-01A-11R-A00Z-07	0.1038498
TCGA-E2-A1LL-01A-11R-A144-07	0.4726204
TCGA-E9-A1ND-01A-11R-A144-07	0.0110524
TCGA-A2-A0YH-01A-11R-A109-07	0.089815
TCGA-E9-A249-01A-11R-A169-07	0.1897482
TCGA-BH-A0C3-01A-21R-A12P-07	0.1797793
TCGA-AR-A2LJ-01A-12R-A19W-07	0.4271892
TCGA-GM-A2DK-01A-21R-A180-07	0.4828558
TCGA-AR-A1AI-01A-11R-A12P-07	0.0768167
TCGA-LL-A73Y-01A-11R-A33J-07	0.4694132
TCGA-E9-A245-01A-22R-A16F-07	0.6747642
TCGA-AN-A049-01A-21R-A00Z-07	0.3314529
TCGA-E2-A1IU-01A-11R-A14D-07	0.7655054
TCGA-E2-A1L7-11A-33R-A144-07	0.3493729
TCGA-B6-A0IM-01A-11R-A034-07	0.248791
TCGA-BH-A28Q-01A-11R-A16F-07	0.518657
TCGA-AO-A0J7-01A-11R-A034-07	0.7137057
TCGA-BH-A18R-11A-42R-A12D-07	0.3577238
TCGA-EW-A6SD-01A-12R-A33J-07	0.5523443
TCGA-A8-A093-01A-11R-A00Z-07	0.5278638
TCGA-AC-A2BM-01A-11R-A21T-07	0.1720095
TCGA-AQ-A1H3-01A-31R-A13Q-07	0.250113
TCGA-E9-A1N4-01A-11R-A14M-07	0.1019756
TCGA-A2-A0CS-01A-11R-A115-07	0.1973837
TCGA-E2-A1IL-01A-11R-A14D-07	0.3465171
TCGA-A7-A26I-01A-11R-A169-07	0.1365382
TCGA-AR-A1AO-01A-11R-A12P-07	0.050805
TCGA-BH-A0BZ-11A-61R-A12P-07	0.1784673
TCGA-OL-A5D6-01A-21R-A27Q-07	0.7391097
TCGA-D8-A1XG-01A-11R-A14D-07	0.197423
TCGA-BH-A1FR-01A-11R-A13Q-07	0.4123914
TCGA-BH-A18J-01A-11R-A12D-07	0.3242548
TCGA-AN-A0FK-01A-11R-A034-07	0.3772033
TCGA-AR-A254-01A-21R-A169-07	0.2449379
TCGA-D8-A73U-01A-11R-A33J-07	0.0181817
TCGA-BH-A1FC-11A-32R-A13Q-07	0.1146089
TCGA-E9-A228-01A-31R-A157-07	0.8509273
TCGA-LQ-A4E4-01A-11R-A266-07	0.6495926
TCGA-BH-A0H7-01A-13R-A056-07	0.6108404
TCGA-BH-A1EW-01A-11R-A137-07	0.1338147
TCGA-BH-A42T-01A-11R-A24H-07	0.3516772
TCGA-C8-A275-01A-21R-A16F-07	0.6454439
TCGA-D8-A1XV-01A-11R-A14M-07	0.4136014
TCGA-AN-A0XN-01A-21R-A109-07	0.0854174
TCGA-EW-A1J2-01A-21R-A13Q-07	0.2172525
TCGA-E2-A14S-01A-11R-A12D-07	0.2589869
TCGA-E9-A1R7-01A-11R-A14M-07	0.5794928
TCGA-D8-A1XY-01A-11R-A14M-07	0.2213662
TCGA-BH-A1FB-01A-11R-A13Q-07	0.1296678
TCGA-BH-A0HF-01A-11R-A056-07	0.1869176
TCGA-AC-A3BB-01A-21R-A19W-07	0.2441996
TCGA-E2-A158-11A-22R-A12D-07	0.068135
TCGA-A2-A0EW-01A-21R-A115-07	0.3800462
TCGA-AR-A2LE-01A-11R-A180-07	0.5377807
TCGA-A2-A0CP-01A-11R-A034-07	0.3312388
TCGA-BH-A0RX-01A-21R-A084-07	0.1579775
TCGA-OL-A6VO-01A-12R-A33J-07	0.0733169
TCGA-EW-A6SB-01A-12R-A32P-07	0.0380621
TCGA-LL-A5YP-01A-21R-A28M-07	0.3828232
TCGA-BH-A0E0-11A-13R-A089-07	0.777053
TCGA-AO-A124-01A-11R-A10J-07	0.1143081
TCGA-AN-A0AK-01A-21R-A00Z-07	0.6730831
TCGA-AO-A0J5-01A-11R-A034-07	0.5987297
TCGA-AC-A3YJ-01A-11R-A22U-07	0.4191245
TCGA-E2-A15T-01A-11R-A115-07	0.4548811
TCGA-A7-A2KD-01A-31R-A21T-07	0.4336487
TCGA-D8-A27E-01A-11R-A16F-07	0.2329513
TCGA-C8-A12O-01A-11R-A115-07	0.2180425
TCGA-BH-A1F6-01A-11R-A13Q-07	0.0979979
TCGA-AR-A255-01A-11R-A169-07	0.1825214
TCGA-AN-A0FV-01A-11R-A00Z-07	0.9068315
TCGA-BH-A0DQ-01A-11R-A084-07	0.3879583
TCGA-AN-A0AM-01A-11R-A034-07	0.1142636
