	FPKM_log_q_200_f	TPM_log_q_200_f
TCGA-AO-A1KT-01A-11R-A13Q-07	0.9057089	0.8273879
TCGA-AQ-A04H-01B-11R-A10J-07	0.9577981	0.9514867
TCGA-AQ-A04J-01A-02R-A034-07	0.6676405	0.6191377
TCGA-AQ-A04L-01B-21R-A10J-07	0.8003514	0.7466371
TCGA-AQ-A0Y5-01A-11R-A14M-07	0.970196	0.9593752
TCGA-AQ-A1H2-01A-11R-A13Q-07	0.7995462	0.6254271
TCGA-AQ-A1H3-01A-31R-A13Q-07	0.87083	0.806681
TCGA-AQ-A54N-01A-11R-A266-07	0.7051175	0.7151565
TCGA-AQ-A54O-01A-11R-A266-07	0.746537	0.6392281
TCGA-AQ-A7U7-01A-22R-A352-07	0.5079425	0.3326398
TCGA-AR-A0TP-01A-11R-A084-07	0.8003616	0.7932474
TCGA-AR-A0TQ-01A-11R-A084-07	0.9578708	0.9532431
TCGA-AR-A0TR-01A-11R-A084-07	0.617159	0.5228239
TCGA-AR-A0TS-01A-11R-A115-07	0.8720977	0.8079161
TCGA-AR-A0TT-01A-31R-A084-07	0.7509617	0.6032341
TCGA-AR-A0TU-01A-31R-A109-07	0.2322828	0.1087265
TCGA-AR-A0TV-01A-21R-A084-07	0.6354093	0.3401909
TCGA-AR-A0TW-01A-11R-A084-07	0.8325671	0.7392072
TCGA-AR-A0TX-01A-11R-A084-07	0.8915701	0.8949752
TCGA-AR-A0TY-01A-12R-A115-07	0.9355849	0.9321797
TCGA-AR-A0TZ-01A-12R-A084-07	0.8349807	0.7732083
TCGA-AR-A0U0-01A-11R-A109-07	0.4283595	0.1941795
TCGA-AR-A0U2-01A-11R-A109-07	0.8996342	0.8920163
TCGA-AR-A0U3-01A-11R-A109-07	0.7927908	0.7382382
TCGA-AR-A0U4-01A-11R-A109-07	0.0557423	0.029603
TCGA-AR-A1AH-01A-11R-A12D-07	0.7709588	0.7617377
TCGA-AR-A1AI-01A-11R-A12P-07	0.391658	0.2498718
TCGA-AR-A1AJ-01A-21R-A12P-07	0.36433	0.1122164
TCGA-AR-A1AK-01A-21R-A12P-07	0.7076091	0.4902022
TCGA-AR-A1AL-01A-21R-A12P-07	0.8859186	0.8786399
TCGA-AR-A1AM-01A-41R-A22K-07	0.7711757	0.7543065
TCGA-AR-A1AN-01A-11R-A12P-07	0.8409526	0.7709731
TCGA-AR-A1AO-01A-11R-A12P-07	0.4629253	0.2423983
TCGA-AR-A1AP-01A-11R-A12P-07	0.8841563	0.8680255
TCGA-AR-A1AQ-01A-11R-A12P-07	0.6600632	0.3668469
TCGA-AR-A1AR-01A-31R-A137-07	0.1435881	0.0666933
TCGA-AR-A1AS-01A-11R-A12P-07	0.9401774	0.9369229
TCGA-AR-A1AT-01A-11R-A12P-07	0.895144	0.8676475
TCGA-AR-A1AU-01A-11R-A12P-07	0.8661292	0.8445579
TCGA-AR-A1AV-01A-21R-A12P-07	0.8614989	0.9017873
TCGA-AR-A1AW-01A-21R-A12P-07	0.181456	0.1286976
TCGA-AR-A1AX-01A-11R-A12P-07	0.8139097	0.8031396
TCGA-AR-A1AY-01A-21R-A12P-07	0.7878336	0.6762233
TCGA-AR-A24H-01A-11R-A169-07	0.8130795	0.6513025
TCGA-AR-A24K-01A-11R-A169-07	0.792214	0.8451318
TCGA-AR-A24L-01A-11R-A169-07	0.9209479	0.9221291
TCGA-AR-A24M-01A-11R-A169-07	0.8493635	0.8701802
TCGA-AR-A24N-01A-11R-A169-07	0.84291	0.8204166
TCGA-AR-A24O-01A-11R-A169-07	0.8823188	0.8484075
TCGA-AR-A24P-01A-11R-A169-07	0.8952823	0.8741329
TCGA-AR-A24Q-01A-12R-A169-07	0.8683176	0.8754962
TCGA-AR-A24R-01A-11R-A169-07	0.7877168	0.7115547
TCGA-AR-A24S-01A-11R-A169-07	0.7402273	0.5486453
TCGA-AR-A24T-01A-11R-A169-07	0.8935615	0.8602257
TCGA-AR-A24U-01A-11R-A169-07	0.939867	0.9110302
TCGA-AR-A24V-01A-21R-A169-07	0.9100215	0.8285494
TCGA-AR-A24W-01A-11R-A169-07	0.8244235	0.7623414
TCGA-AR-A24X-01A-11R-A169-07	0.9044098	0.8896958
TCGA-AR-A24Z-01A-11R-A169-07	0.50295	0.3808917
TCGA-AR-A250-01A-31R-A169-07	0.9265849	0.8997407
TCGA-AR-A251-01A-12R-A169-07	0.3503885	0.1627609
TCGA-AR-A252-01A-11R-A169-07	0.4303138	0.4288612
TCGA-AR-A254-01A-21R-A169-07	0.9242732	0.8915092
TCGA-AR-A255-01A-11R-A169-07	0.6937756	0.5901375
TCGA-AR-A256-01A-11R-A169-07	0.7819991	0.7515248
TCGA-AR-A2LE-01A-11R-A180-07	0.9248718	0.9167905
TCGA-AR-A2LH-01A-31R-A18M-07	0.7429429	0.6427713
TCGA-AR-A2LJ-01A-12R-A19W-07	0.8659175	0.787107
TCGA-AR-A2LK-01A-11R-A180-07	0.6241364	0.391909
TCGA-AR-A2LL-01A-11R-A180-07	0.8044411	0.7321692
TCGA-AR-A2LM-01A-11R-A180-07	0.8839352	0.8761679
TCGA-AR-A2LN-01A-21R-A18M-07	0.7215303	0.5341476
TCGA-AR-A2LO-01A-31R-A18M-07	0.8530779	0.7896398
TCGA-AR-A2LQ-01A-22R-A18M-07	0.8794631	0.8591502
TCGA-AR-A2LR-01A-12R-A18M-07	0.7946817	0.7549551
TCGA-AR-A5QM-01A-11R-A27Q-07	0.8199619	0.690841
TCGA-AR-A5QN-01A-12R-A28M-07	0.8778758	0.8086265
TCGA-AR-A5QP-01A-11R-A28M-07	0.83719	0.7957394
TCGA-AR-A5QQ-01A-11R-A28M-07	0.7346425	0.5311019
TCGA-B6-A0I1-01A-11R-A21T-07	0.8832177	0.8803766
TCGA-B6-A0I2-01A-11R-A034-07	0.0818515	0.0318611
TCGA-B6-A0I5-01A-11R-A034-07	0.9085338	0.8078494
TCGA-B6-A0I6-01A-11R-A034-07	0.79345	0.7982314
TCGA-B6-A0I8-01A-11R-A034-07	0.9377279	0.9453043
TCGA-B6-A0I9-01A-11R-A034-07	0.9326622	0.9180386
TCGA-B6-A0IA-01A-11R-A034-07	0.7497435	0.6495876
TCGA-B6-A0IB-01A-11R-A034-07	0.854639	0.7953578
TCGA-B6-A0IC-01A-11R-A034-07	0.7187878	0.6844189
TCGA-B6-A0IE-01A-11R-A034-07	0.8156969	0.7568621
TCGA-B6-A0IG-01A-11R-A034-07	0.8924788	0.8848461
TCGA-B6-A0IH-01A-11R-A115-07	0.8379161	0.6977691
TCGA-B6-A0IJ-01A-11R-A034-07	0.1872647	0.0638447
TCGA-B6-A0IK-01A-12R-A056-07	0.9373391	0.9410976
TCGA-B6-A0IM-01A-11R-A034-07	0.9098268	0.8721482
TCGA-B6-A0IN-01A-11R-A034-07	0.8925031	0.8583073
TCGA-B6-A0IO-01A-11R-A034-07	0.6089538	0.5271648
TCGA-B6-A0IP-01A-11R-A034-07	0.7697113	0.7217343
TCGA-B6-A0IQ-01A-11R-A034-07	0.6274401	0.6364413
TCGA-B6-A0RE-01A-11R-A056-07	0.878972	0.8820017
TCGA-B6-A0RG-01A-11R-A056-07	0.8866489	0.8538409
TCGA-B6-A0RH-01A-21R-A115-07	0.8892432	0.8626417
TCGA-B6-A0RI-01A-11R-A056-07	0.839808	0.8418915
TCGA-B6-A0RL-01A-11R-A084-07	0.8958213	0.7979578
TCGA-B6-A0RM-01A-11R-A084-07	0.7188061	0.5266254
TCGA-B6-A0RN-01A-12R-A084-07	0.8866615	0.9054288
TCGA-B6-A0RO-01A-22R-A084-07	0.8471184	0.7880573
TCGA-B6-A0RP-01A-21R-A084-07	0.6610429	0.6562156
TCGA-B6-A0RQ-01A-11R-A115-07	0.7894039	0.8273653
TCGA-B6-A0RS-01A-11R-A084-07	0.8864184	0.8305677
TCGA-B6-A0RT-01A-21R-A084-07	0.5764253	0.3806713
TCGA-B6-A0RU-01A-11R-A084-07	0.8407632	0.8573123
TCGA-B6-A0RV-01A-11R-A084-07	0.8620922	0.8300007
TCGA-B6-A0WS-01A-11R-A115-07	0.7744513	0.6248002
TCGA-B6-A0WT-01A-11R-A109-07	0.861836	0.8394997
TCGA-B6-A0WV-01A-11R-A109-07	0.8681199	0.8843935
TCGA-B6-A0WW-01A-11R-A109-07	0.7683281	0.681876
TCGA-B6-A0WX-01A-11R-A109-07	0.8901959	0.8201864
TCGA-B6-A0WY-01A-11R-A109-07	0.8776678	0.8943476
TCGA-B6-A0WZ-01A-11R-A109-07	0.8858084	0.8964397
TCGA-B6-A0X0-01A-21R-A115-07	0.8973222	0.8902728
TCGA-B6-A0X1-01A-11R-A109-07	0.2351447	0.0732215
TCGA-B6-A0X4-01A-11R-A109-07	0.8314768	0.8404422
TCGA-B6-A0X5-01A-21R-A109-07	0.7956235	0.7283054
TCGA-B6-A0X7-01A-11R-A10J-07	0.8315061	0.8057676
TCGA-B6-A1KC-01B-11R-A157-07	0.8820146	0.8555113
TCGA-B6-A1KF-01A-11R-A13Q-07	0.964704	0.9649499
TCGA-B6-A1KI-01A-11R-A14M-07	0.8459796	0.8462346
TCGA-B6-A1KN-01A-11R-A13Q-07	0.9407961	0.924246
TCGA-B6-A2IU-01A-32R-A18M-07	0.8253836	0.8495468
TCGA-B6-A3ZX-01A-11R-A239-07	0.7592058	0.5830339
TCGA-B6-A400-01A-11R-A239-07	0.8721672	0.8176634
TCGA-B6-A401-01A-11R-A239-07	0.8076418	0.7918675
TCGA-B6-A402-01A-11R-A239-07	0.8078266	0.7040944
TCGA-B6-A408-01A-12R-A24H-07	0.6760229	0.3637301
TCGA-B6-A409-01A-11R-A24H-07	0.5716352	0.3029488
TCGA-B6-A40B-01A-11R-A239-07	0.9224595	0.8793629
TCGA-B6-A40C-01A-11R-A239-07	0.8164856	0.7798336
TCGA-BH-A0AU-01A-11R-A12P-07	0.7621042	0.7089455
TCGA-BH-A0AV-01A-31R-A115-07	0.9135404	0.8296701
TCGA-BH-A0AW-01A-11R-A056-07	0.8850882	0.896263
TCGA-BH-A0AY-01A-21R-A00Z-07	0.6860474	0.4582811
TCGA-BH-A0AZ-01A-21R-A12P-07	0.8479713	0.802188
TCGA-BH-A0B0-01A-21R-A115-07	0.6634746	0.4575631
TCGA-BH-A0B1-01A-12R-A056-07	0.8611566	0.8164795
TCGA-BH-A0B2-01A-11R-A10J-07	0.6894644	0.5674112
TCGA-BH-A0B3-01A-11R-A056-07	0.7613328	0.6174176
TCGA-BH-A0B4-01A-11R-A00Z-07	0.9543979	0.9298295
TCGA-BH-A0B5-01A-11R-A12P-07	0.8596848	0.8998307
TCGA-BH-A0B6-01A-11R-A19W-07	0.7153799	0.5274492
TCGA-BH-A0B7-01A-12R-A115-07	0.9073158	0.8854652
TCGA-BH-A0B8-01A-21R-A056-07	0.8215755	0.6903403
TCGA-BH-A0B9-01A-11R-A056-07	0.2375865	0.0942567
TCGA-BH-A0BA-01A-11R-A056-07	0.8240212	0.7475709
TCGA-BH-A0BC-01A-22R-A084-07	0.8541683	0.8313678
TCGA-BH-A0BD-01A-11R-A034-07	0.635235	0.3361837
TCGA-BH-A0BF-01A-21R-A12P-07	0.6749597	0.3593175
TCGA-BH-A0BG-01A-11R-A115-07	0.6169692	0.3384535
TCGA-BH-A0BJ-01A-11R-A056-07	0.8821333	0.8550723
TCGA-BH-A0BL-01A-11R-A115-07	0.836705	0.7290777
TCGA-BH-A0BM-01A-11R-A056-07	0.7457662	0.6662855
TCGA-BH-A0BO-01A-23R-A12D-07	0.9272244	0.8656441
TCGA-BH-A0BP-01A-11R-A115-07	0.8721492	0.7580417
TCGA-BH-A0BQ-01A-21R-A115-07	0.8878996	0.8618449
TCGA-BH-A0BR-01A-21R-A115-07	0.9263352	0.8794264
TCGA-BH-A0BS-01A-11R-A12P-07	0.8993651	0.899711
TCGA-BH-A0BT-01A-11R-A12P-07	0.6726109	0.5912984
TCGA-BH-A0BV-01A-11R-A00Z-07	0.8314832	0.7845428
TCGA-BH-A0BW-01A-11R-A115-07	0.3744098	0.1985615
TCGA-BH-A0BZ-01A-31R-A12P-07	0.8974921	0.8112252
TCGA-BH-A0C0-01A-21R-A056-07	0.5040738	0.2092844
TCGA-BH-A0C1-01B-11R-A12D-07	0.8816938	0.8898263
TCGA-BH-A0C3-01A-21R-A12P-07	0.8757305	0.8359709
TCGA-BH-A0C7-01B-11R-A115-07	0.7372474	0.6498347
TCGA-BH-A0DD-01A-31R-A12P-07	0.805022	0.843319
TCGA-BH-A0DE-01A-11R-A115-07	0.8947462	0.8070079
TCGA-BH-A0DG-01A-21R-A12P-07	0.8322583	0.806702
TCGA-BH-A0DH-01A-11R-A084-07	0.8320634	0.7566893
TCGA-BH-A0DI-01A-21R-A12P-07	0.9068134	0.8737069
TCGA-BH-A0DK-01A-21R-A056-07	0.6326274	0.3125703
TCGA-BH-A0DL-01A-11R-A115-07	0.3362682	0.1623277
TCGA-BH-A0DO-01B-11R-A12D-07	0.8056093	0.8033211
TCGA-BH-A0DP-01A-21R-A056-07	0.7805565	0.7653684
TCGA-BH-A0DQ-01A-11R-A084-07	0.8607319	0.8085606
TCGA-BH-A0DS-01A-11R-A056-07	0.8935138	0.7947439
TCGA-BH-A0DT-01A-21R-A12D-07	0.8846499	0.858826
TCGA-BH-A0DV-01A-21R-A12P-07	0.891831	0.8506925
TCGA-BH-A0DX-01A-11R-A115-07	0.8174489	0.6828549
TCGA-BH-A0DZ-01A-11R-A00Z-07	0.9481961	0.9466551
TCGA-BH-A0E0-01A-11R-A056-07	0.845937	0.7332075
TCGA-BH-A0E1-01A-11R-A056-07	0.9175524	0.8993089
TCGA-BH-A0E2-01A-11R-A056-07	0.8440691	0.7224147
TCGA-BH-A0E6-01A-11R-A034-07	0.8726931	0.8411588
TCGA-BH-A0E7-01A-11R-A034-07	0.8344952	0.8699797
TCGA-BH-A0E9-01B-11R-A115-07	0.8117895	0.7006525
TCGA-BH-A0EA-01A-11R-A115-07	0.8764379	0.8161318
TCGA-BH-A0EB-01A-11R-A034-07	0.7457159	0.6636011
TCGA-BH-A0EE-01A-11R-A034-07	0.811586	0.8453163
TCGA-BH-A0EI-01A-11R-A115-07	0.9185341	0.9173012
TCGA-BH-A0GY-01A-11R-A056-07	0.8557584	0.8097669
TCGA-BH-A0GZ-01A-11R-A056-07	0.8042934	0.779644
TCGA-BH-A0H0-01A-11R-A056-07	0.82478	0.7857946
TCGA-BH-A0H3-01A-11R-A12P-07	0.815526	0.8129618
TCGA-BH-A0H5-01A-21R-A115-07	0.5623927	0.5016226
TCGA-BH-A0H6-01A-21R-A056-07	0.9150138	0.8843008
TCGA-BH-A0H7-01A-13R-A056-07	0.9393963	0.9193485
TCGA-BH-A0H9-01A-11R-A056-07	0.927996	0.8938306
TCGA-BH-A0HA-01A-11R-A12P-07	0.86553	0.8238523
TCGA-BH-A0HB-01A-11R-A056-07	0.8339611	0.6780585
TCGA-BH-A0HF-01A-11R-A056-07	0.8502247	0.7998863
TCGA-BH-A0HI-01A-11R-A084-07	0.8710139	0.8129319
TCGA-BH-A0HK-01A-11R-A056-07	0.8658921	0.7818942
TCGA-BH-A0HL-01A-11R-A10U-07	0.8971545	0.9056312
TCGA-BH-A0HN-01A-11R-A10U-07	0.7009441	0.6336418
TCGA-BH-A0HO-01A-11R-A034-07	0.8878121	0.8459278
TCGA-BH-A0HP-01A-12R-A084-07	0.7621583	0.6880544
TCGA-BH-A0HQ-01A-11R-A034-07	0.8595714	0.8705259
TCGA-BH-A0HU-01A-11R-A034-07	0.7860195	0.7689258
TCGA-BH-A0HW-01A-11R-A034-07	0.88533	0.8562733
TCGA-BH-A0HX-01A-21R-A056-07	0.9113103	0.9044863
TCGA-BH-A0HY-01A-11R-A056-07	0.9701731	0.9665289
TCGA-BH-A0RX-01A-21R-A084-07	0.7211683	0.5332279
TCGA-BH-A0W3-01A-11R-A109-07	0.7596533	0.7278956
TCGA-BH-A0W4-01A-11R-A109-07	0.9236813	0.9357459
TCGA-BH-A0W5-01A-11R-A109-07	0.7721401	0.7655098
TCGA-BH-A0W7-01A-11R-A115-07	0.8524792	0.8057654
TCGA-BH-A0WA-01A-11R-A109-07	0.7936723	0.7754184
TCGA-BH-A18F-01A-11R-A12D-07	0.7863006	0.7317987
TCGA-BH-A18G-01A-11R-A12D-07	0.4841102	0.4184004
TCGA-BH-A18H-01A-11R-A12D-07	0.781041	0.5932
TCGA-BH-A18I-01A-11R-A12D-07	0.8498482	0.7626701
TCGA-BH-A18J-01A-11R-A12D-07	0.8587409	0.8332918
TCGA-BH-A18K-01A-11R-A12D-07	0.8645521	0.8161052
TCGA-BH-A18L-01A-32R-A12D-07	0.8399963	0.7581228
TCGA-BH-A18M-01A-11R-A12D-07	0.7894839	0.7604337
TCGA-BH-A18N-01A-11R-A12D-07	0.8120264	0.7939719
TCGA-BH-A18P-01A-11R-A12D-07	0.8753134	0.8774205
TCGA-BH-A18Q-01A-12R-A12D-07	0.6059284	0.3905817
TCGA-BH-A18R-01A-11R-A12D-07	0.9080844	0.8832886
TCGA-BH-A18S-01A-11R-A12D-07	0.8582426	0.8688488
TCGA-BH-A18T-01A-11R-A12D-07	0.7072783	0.4207932
TCGA-BH-A18U-01A-21R-A12D-07	0.8821692	0.8305732
TCGA-BH-A18V-01A-11R-A12D-07	0.6955962	0.349966
TCGA-BH-A18V-06A-11R-A213-07	0.1274958	0.0815197
TCGA-BH-A1EN-01A-11R-A13Q-07	0.9738669	0.9746266
TCGA-BH-A1EO-01A-11R-A137-07	0.8077994	0.7179205
TCGA-BH-A1ES-01A-11R-A137-07	0.9474684	0.9562232
TCGA-BH-A1ES-06A-12R-A24H-07	0.9014419	0.8185507
TCGA-BH-A1ET-01A-11R-A137-07	0.7662264	0.7241783
TCGA-BH-A1EU-01A-11R-A137-07	0.37456	0.1619197
TCGA-BH-A1EV-01A-11R-A137-07	0.9470701	0.9496082
TCGA-BH-A1EW-01A-11R-A137-07	0.8290217	0.7257559
TCGA-BH-A1EX-01A-11R-A13Q-07	0.8515578	0.7848971
TCGA-BH-A1EY-01A-11R-A13Q-07	0.8137921	0.6814175
TCGA-BH-A1F0-01A-11R-A137-07	0.7074163	0.4262916
TCGA-BH-A1F2-01A-31R-A13Q-07	0.897282	0.8593861
TCGA-BH-A1F5-01A-12R-A13Q-07	0.8220126	0.7862034
TCGA-BH-A1F6-01A-11R-A13Q-07	0.8594672	0.713153
TCGA-BH-A1F8-01A-11R-A13Q-07	0.8752512	0.8469994
TCGA-BH-A1FB-01A-11R-A13Q-07	0.6518761	0.6515779
TCGA-BH-A1FC-01A-11R-A13Q-07	0.5836124	0.3541323
TCGA-BH-A1FD-01A-11R-A13Q-07	0.3694737	0.2217409
TCGA-BH-A1FE-01A-11R-A13Q-07	0.8612663	0.8567909
TCGA-BH-A1FE-06A-11R-A213-07	0.7365349	0.5331595
TCGA-BH-A1FG-01A-11R-A13Q-07	0.7575634	0.6302231
TCGA-BH-A1FH-01A-12R-A13Q-07	0.8729425	0.8305207
TCGA-BH-A1FJ-01A-11R-A13Q-07	0.7798286	0.8369124
TCGA-BH-A1FL-01A-11R-A13Q-07	0.8082184	0.7940697
TCGA-BH-A1FM-01A-11R-A13Q-07	0.8247815	0.762244
TCGA-BH-A1FN-01A-11R-A13Q-07	0.8403294	0.7890627
TCGA-BH-A1FR-01A-11R-A13Q-07	0.8200053	0.7715283
TCGA-BH-A1FU-01A-11R-A14D-07	0.9534913	0.9477057
TCGA-BH-A201-01A-11R-A14M-07	0.8892154	0.8626917
TCGA-BH-A202-01A-11R-A14M-07	0.826719	0.7688505
TCGA-BH-A203-01A-12R-A169-07	0.8421747	0.7847393
TCGA-BH-A204-01A-11R-A157-07	0.8897913	0.8490914
TCGA-BH-A208-01A-11R-A157-07	0.839163	0.7453425
TCGA-BH-A209-01A-11R-A157-07	0.3146337	0.1411703
TCGA-BH-A28O-01A-11R-A22K-07	0.8733049	0.8739994
TCGA-BH-A28Q-01A-11R-A16F-07	0.9099637	0.9321668
TCGA-BH-A2L8-01A-11R-A18M-07	0.7044444	0.6233595
TCGA-BH-A42T-01A-11R-A24H-07	0.7363438	0.6801057
TCGA-BH-A42U-01A-12R-A24H-07	0.7656106	0.4796444
TCGA-BH-A42V-01A-11R-A24H-07	0.6850637	0.4598302
TCGA-BH-A5IZ-01A-11R-A27Q-07	0.7241266	0.5162835
TCGA-BH-A5J0-01A-11R-A27Q-07	0.8226915	0.6714754
TCGA-BH-A6R8-01A-21R-A33J-07	0.5743059	0.3068203
TCGA-BH-A6R9-01A-21R-A32P-07	0.2803762	0.1849421
TCGA-BH-A8FY-01A-11R-A36F-07	0.7992291	0.7290128
TCGA-BH-A8FZ-01A-11R-A352-07	0.7895103	0.6726055
TCGA-BH-A8G0-01A-11R-A352-07	0.797816	0.7411884
TCGA-C8-A12K-01A-21R-A115-07	0.2114172	0.0572146
TCGA-C8-A12L-01A-11R-A115-07	0.9230929	0.9077187
TCGA-C8-A12M-01A-11R-A115-07	0.8908143	0.8786649
TCGA-C8-A12N-01A-11R-A115-07	0.8365511	0.7902719
TCGA-C8-A12O-01A-11R-A115-07	0.8955178	0.8339109
TCGA-C8-A12P-01A-11R-A115-07	0.9266415	0.8994665
TCGA-C8-A12Q-01A-11R-A115-07	0.9652898	0.9668572
TCGA-C8-A12T-01A-11R-A115-07	0.9744869	0.9654326
TCGA-C8-A12U-01A-11R-A115-07	0.741145	0.4237363
TCGA-C8-A12V-01A-11R-A115-07	0.1124268	0.0357671
TCGA-C8-A12W-01A-11R-A115-07	0.9389577	0.9142127
TCGA-C8-A12X-01A-11R-A115-07	0.6422617	0.327315
TCGA-C8-A12Y-01A-11R-A12D-07	0.8018539	0.7440117
TCGA-C8-A12Z-01A-11R-A115-07	0.9647063	0.9650716
TCGA-C8-A130-01A-31R-A115-07	0.8214942	0.7611078
TCGA-C8-A131-01A-11R-A115-07	0.8379838	0.5472902
TCGA-C8-A132-01A-31R-A115-07	0.9482997	0.9437032
TCGA-C8-A133-01A-32R-A12D-07	0.6397061	0.6356931
TCGA-C8-A134-01A-11R-A115-07	0.6497516	0.3856737
TCGA-C8-A135-01A-11R-A115-07	0.923187	0.9217227
TCGA-C8-A137-01A-11R-A115-07	0.9546866	0.9582429
TCGA-C8-A138-01A-11R-A115-07	0.6780881	0.5183703
TCGA-C8-A1HE-01A-11R-A13Q-07	0.8154563	0.7413674
TCGA-C8-A1HF-01A-11R-A137-07	0.8883533	0.8334907
TCGA-C8-A1HG-01A-11R-A137-07	0.5798009	0.3001441
TCGA-C8-A1HI-01A-11R-A137-07	0.7511802	0.7507522
TCGA-C8-A1HJ-01A-11R-A13Q-07	0.63121	0.6334743
TCGA-C8-A1HK-01A-21R-A13Q-07	0.9552149	0.965651
TCGA-C8-A1HL-01A-11R-A137-07	0.9195983	0.9044908
TCGA-C8-A1HM-01A-12R-A137-07	0.4880314	0.1807182
TCGA-C8-A1HN-01A-11R-A137-07	0.9265383	0.8988571
TCGA-C8-A1HO-01A-11R-A13Q-07	0.4082515	0.2905584
TCGA-C8-A26V-01A-11R-A16F-07	0.701074	0.6428198
TCGA-C8-A26W-01A-11R-A16F-07	0.776904	0.7791378
TCGA-C8-A26X-01A-31R-A16F-07	0.808314	0.7150539
TCGA-C8-A26Y-01A-11R-A16F-07	0.622242	0.4819642
TCGA-C8-A26Z-01A-11R-A16F-07	0.906748	0.902727
TCGA-C8-A273-01A-11R-A16F-07	0.7635187	0.5531523
TCGA-C8-A274-01A-11R-A16F-07	0.8763629	0.831618
TCGA-C8-A275-01A-21R-A16F-07	0.9234499	0.9112908
TCGA-C8-A278-01A-11R-A169-07	0.8765746	0.8707997
TCGA-C8-A27A-01A-11R-A169-07	0.8905137	0.8986336
TCGA-C8-A27B-01A-11R-A169-07	0.0993429	0.0440996
TCGA-C8-A3M7-01A-12R-A21T-07	0.8407387	0.6464061
TCGA-C8-A3M8-01A-11R-A213-07	0.8964171	0.869006
TCGA-C8-A8HP-01A-11R-A36F-07	0.8939489	0.8947042
TCGA-C8-A8HQ-01A-11R-A36F-07	0.8986523	0.8674109
TCGA-C8-A8HR-01A-11R-A36F-07	0.7228134	0.4266761
TCGA-D8-A13Y-01A-11R-A115-07	0.8484711	0.798865
TCGA-D8-A13Z-01A-11R-A115-07	0.9324334	0.9074976
TCGA-D8-A140-01A-11R-A115-07	0.5427616	0.3606011
TCGA-D8-A141-01A-11R-A115-07	0.6655787	0.5972978
TCGA-D8-A142-01A-11R-A115-07	0.929199	0.9136972
TCGA-D8-A143-01A-11R-A115-07	0.8124114	0.7390271
TCGA-D8-A145-01A-11R-A115-07	0.8242867	0.686524
TCGA-D8-A146-01A-31R-A115-07	0.8524407	0.8168025
TCGA-D8-A147-01A-11R-A115-07	0.7322716	0.4501305
TCGA-D8-A1J8-01A-11R-A13Q-07	0.8208809	0.7461842
TCGA-D8-A1J9-01A-11R-A13Q-07	0.965145	0.9631725
TCGA-D8-A1JA-01A-11R-A13Q-07	0.9552786	0.9486005
TCGA-D8-A1JB-01A-11R-A13Q-07	0.7609983	0.6700575
TCGA-D8-A1JC-01A-11R-A13Q-07	0.8466474	0.7887916
TCGA-D8-A1JD-01A-11R-A13Q-07	0.8144381	0.7782396
TCGA-D8-A1JE-01A-11R-A13Q-07	0.8583573	0.8474784
TCGA-D8-A1JF-01A-11R-A13Q-07	0.874026	0.8719379
TCGA-D8-A1JG-01B-11R-A13Q-07	0.7818532	0.7572809
TCGA-D8-A1JH-01A-11R-A13Q-07	0.8851441	0.8622981
TCGA-D8-A1JI-01A-11R-A13Q-07	0.7569425	0.5583703
TCGA-D8-A1JJ-01A-31R-A14M-07	0.8034366	0.633102
TCGA-D8-A1JK-01A-11R-A13Q-07	0.8469414	0.7841929
TCGA-D8-A1JL-01A-11R-A13Q-07	0.5966562	0.48916
TCGA-D8-A1JM-01A-11R-A13Q-07	0.7391959	0.6195314
TCGA-D8-A1JN-01A-11R-A13Q-07	0.6274681	0.6186619
TCGA-D8-A1JP-01A-11R-A13Q-07	0.7887087	0.7395603
TCGA-D8-A1JS-01A-11R-A13Q-07	0.8315255	0.7655501
TCGA-D8-A1JT-01A-31R-A13Q-07	0.6803107	0.5312364
TCGA-D8-A1JU-01A-11R-A13Q-07	0.8354637	0.7799141
TCGA-D8-A1X5-01A-11R-A14D-07	0.8850266	0.7956258
TCGA-D8-A1X6-01A-11R-A14M-07	0.8637573	0.6712025
TCGA-D8-A1X7-01A-11R-A14M-07	0.9036676	0.9151374
TCGA-D8-A1X8-01A-11R-A14M-07	0.7880436	0.543413
TCGA-D8-A1X9-01A-12R-A157-07	0.8812171	0.8334611
TCGA-D8-A1XA-01A-11R-A14D-07	0.7657204	0.5564265
TCGA-D8-A1XB-01A-11R-A14D-07	0.8495271	0.8504546
TCGA-D8-A1XC-01A-11R-A14D-07	0.8553875	0.8379781
TCGA-D8-A1XD-01A-11R-A14D-07	0.952111	0.9641264
TCGA-D8-A1XF-01A-11R-A14D-07	0.9030704	0.9108128
TCGA-D8-A1XG-01A-11R-A14D-07	0.5848456	0.5152822
TCGA-D8-A1XJ-01A-11R-A14M-07	0.9677964	0.9638284
TCGA-D8-A1XK-01A-21R-A14M-07	0.53491	0.1749838
TCGA-D8-A1XL-01A-11R-A14M-07	0.7961246	0.6687645
TCGA-D8-A1XM-01A-21R-A14M-07	0.8244685	0.8088226
TCGA-D8-A1XO-01A-11R-A14M-07	0.8347018	0.800358
TCGA-D8-A1XQ-01A-11R-A14M-07	0.7133754	0.4157908
TCGA-D8-A1XR-01A-11R-A14M-07	0.8134858	0.8063404
TCGA-D8-A1XS-01A-11R-A14M-07	0.9101654	0.8791184
