	A1BG
TCGA-AB-2949-03B-01T-0748-13	1505.0
TCGA-06-0210-01A-01R-1849-01	1506.0
TCGA-24-1474-01A-01R-1566-13	1507.0
TCGA-44-3919-01A-02R-1107-07	1507.0
TCGA-BH-A1FH-01A-12R-A13Q-07	1507.0
TCGA-C8-A278-01A-11R-A169-07	1507.0
TCGA-B0-4824-01A-01R-1277-07	1508.0
TCGA-B0-5399-01A-01R-1503-07	1509.0
TCGA-EW-A1PH-01A-11R-A14M-07	1509.0
TCGA-B0-4714-01A-01R-1277-07	1510.0
TCGA-B0-4847-01A-01R-1277-07	1510.0
TCGA-22-5471-01A-01R-1635-07	1511.0
TCGA-31-1950-01A-01R-1568-13	1512.0
TCGA-AR-A1AO-01A-11R-A12P-07	1512.0
TCGA-66-2786-01A-01R-0851-07	1513.0
TCGA-06-0138-01A-02R-1849-01	1514.0
TCGA-61-2104-01A-01R-1568-13	1515.0
TCGA-A8-A091-01A-11R-A00Z-07	1515.0
TCGA-CR-6487-01A-11R-1873-07	1515.0
TCGA-AC-A2FF-01A-11R-A17B-07	1516.0
TCGA-23-1111-01A-01R-1567-13	1517.0
TCGA-AP-A054-01A-11R-A16W-07	1517.0
TCGA-AX-A1CA-01A-12R-A137-07	1517.0
TCGA-CZ-5465-01A-01R-1503-07	1517.0
TCGA-19-1787-01B-01R-1850-01	1519.0
TCGA-32-1970-01A-01R-1850-01	1519.0
TCGA-B0-4810-01A-01R-1503-07	1519.0
TCGA-06-0646-01A-01R-1849-01	1520.0
TCGA-43-2578-01A-01R-0851-07	1520.0
TCGA-46-3767-01A-01R-0980-07	1520.0
TCGA-AC-A2FG-01A-11R-A17B-07	1520.0
TCGA-B0-4816-01A-01R-1503-07	1520.0
TCGA-BP-4771-01A-01R-1289-07	1520.0
TCGA-06-0210-02A-01R-2005-01	1522.0
TCGA-28-2514-01A-02R-1850-01	1523.0
TCGA-55-1595-01A-01R-0946-07	1523.0
TCGA-06-0744-01A-01R-1849-01	1524.0
TCGA-22-5480-01A-01R-1635-07	1524.0
TCGA-25-1635-01A-01R-1566-13	1524.0
TCGA-39-5027-01A-21R-1820-07	1524.0
TCGA-44-3398-01A-01R-1107-07	1524.0
TCGA-66-2782-01A-01R-0851-07	1525.0
TCGA-18-3407-01A-01R-0980-07	1526.0
TCGA-29-1695-01A-01R-1567-13	1526.0
TCGA-32-1980-01A-01R-1850-01	1526.0
TCGA-39-5016-01A-01R-1443-07	1526.0
TCGA-22-5491-01A-01R-1635-07	1528.0
TCGA-22-5492-01A-01R-1635-07	1528.0
TCGA-CJ-4643-01A-02R-1325-07	1528.0
TCGA-36-1574-01A-01R-1566-13	1529.0
TCGA-B0-5106-01A-01R-1420-07	1529.0
TCGA-AB-2976-03A-01T-0734-13	1530.0
TCGA-CV-6961-01A-21R-1915-07	1531.0
TCGA-06-0649-01B-01R-1849-01	1532.0
TCGA-25-2391-01A-01R-1569-13	1533.0
TCGA-C8-A27A-01A-11R-A169-07	1533.0
TCGA-34-2600-01A-01R-0851-07	1534.0
TCGA-A3-3351-01A-02R-1325-07	1534.0
TCGA-A7-A0D9-01A-31R-A056-07	1535.0
TCGA-B8-4148-01A-02R-1325-07	1535.0
TCGA-43-6647-01A-11R-1820-07	1536.0
TCGA-BP-4987-01A-01R-1334-07	1536.0
TCGA-19-4065-02A-11R-2005-01	1537.0
TCGA-B6-A1KN-01A-11R-A13Q-07	1537.0
TCGA-CJ-5672-01A-11R-1541-07	1537.0
TCGA-D8-A27H-01A-11R-A16F-07	1537.0
TCGA-60-2726-01A-01R-0851-07	1538.0
TCGA-86-8279-01A-11R-2287-07	1538.0
TCGA-EW-A1J2-01A-21R-A13Q-07	1538.0
TCGA-02-0055-01A-01R-1849-01	1539.0
TCGA-29-2414-01A-02R-1569-13	1539.0
TCGA-06-0125-01A-01R-1849-01	1540.0
TCGA-19-2625-01A-01R-1850-01	1540.0
TCGA-AB-2967-03A-01T-0734-13	1540.0
TCGA-D8-A1JC-01A-11R-A13Q-07	1541.0
TCGA-06-2567-01A-01R-1849-01	1542.0
TCGA-22-4594-01A-01R-1201-07	1542.0
TCGA-86-7954-01A-11R-2187-07	1542.0
TCGA-CV-7254-01A-11R-2016-07	1542.0
TCGA-AO-A0JC-01A-11R-A056-07	1543.0
TCGA-BP-4765-01A-01R-1289-07	1544.0
TCGA-44-7670-01A-11R-2066-07	1545.0
TCGA-63-7022-01A-11R-1949-07	1545.0
TCGA-A8-A08X-01A-21R-A00Z-07	1545.0
TCGA-22-0944-01A-01R-0692-07	1546.0
TCGA-37-4133-01A-01R-1100-07	1546.0
TCGA-39-5021-01A-01R-1443-07	1546.0
TCGA-61-2109-01A-01R-1568-13	1546.0
TCGA-93-8067-01A-11R-2287-07	1546.0
TCGA-60-2719-01A-01R-0851-07	1547.0
TCGA-EW-A1J5-01A-11R-A13Q-07	1548.0
TCGA-06-0157-01A-01R-1849-01	1549.0
TCGA-38-4626-01A-01R-1206-07	1549.0
TCGA-A8-A086-01A-11R-A00Z-07	1549.0
TCGA-F7-7848-01A-11R-2132-07	1549.0
TCGA-39-5036-01A-01R-1443-07	1550.0
TCGA-B0-4718-01A-01R-1277-07	1550.0
TCGA-BP-4327-01A-01R-1289-07	1550.0
TCGA-CN-5374-01A-01R-1436-07	1550.0
TCGA-55-7995-01A-11R-2187-07	1552.0
TCGA-61-1914-01A-01R-1567-13	1552.0
TCGA-AR-A24L-01A-11R-A169-07	1554.0
TCGA-CJ-4897-01A-03R-1426-07	1555.0
TCGA-70-6723-01A-11R-1820-07	1556.0
TCGA-CJ-5689-01A-11R-1541-07	1556.0
TCGA-18-5592-01A-01R-1635-07	1557.0
TCGA-37-4135-01A-01R-1100-07	1557.0
TCGA-77-6844-01A-11R-1949-07	1557.0
TCGA-AB-2854-03A-01T-0734-13	1557.0
TCGA-06-5410-01A-01R-1849-01	1559.0
TCGA-24-1549-01A-01R-1566-13	1559.0
TCGA-CN-6989-01A-11R-1915-07	1559.0
TCGA-70-6722-01A-11R-1820-07	1561.0
TCGA-97-7552-01A-11R-2039-07	1561.0
TCGA-CJ-4881-01A-01R-1305-07	1561.0
TCGA-CR-7402-01A-11R-2016-07	1561.0
TCGA-24-1553-01A-01R-1566-13	1563.0
TCGA-CJ-4908-01A-01R-1426-07	1563.0
TCGA-A7-A26E-01A-11R-A169-07	1564.0
TCGA-E9-A1R3-01A-31R-A14M-07	1564.0
TCGA-25-1312-01A-01R-1565-13	1566.0
TCGA-66-2758-01A-02R-0851-07	1566.0
TCGA-A8-A09V-01A-11R-A034-07	1566.0
TCGA-AR-A252-01A-11R-A169-07	1566.0
TCGA-36-1568-01A-01R-1566-13	1567.0
TCGA-97-7941-01A-11R-2187-07	1567.0
TCGA-AO-A1KS-01A-11R-A13Q-07	1567.0
TCGA-B0-4700-01A-02R-1541-07	1567.0
TCGA-73-4670-01A-01R-1206-07	1568.0
TCGA-A8-A08L-01A-11R-A00Z-07	1568.0
TCGA-BP-4346-01A-01R-1289-07	1568.0
TCGA-E9-A22G-01A-11R-A157-07	1568.0
TCGA-EW-A1IW-01A-11R-A13Q-07	1568.0
TCGA-27-1830-01A-01R-1850-01	1569.0
TCGA-AC-A2FB-01A-11R-A17B-07	1569.0
TCGA-06-0743-01A-01R-1849-01	1570.0
TCGA-06-0749-01A-01R-1849-01	1570.0
TCGA-24-1562-01A-01R-1566-13	1570.0
TCGA-24-1563-01A-01R-1566-13	1570.0
TCGA-A2-A04X-01A-21R-A034-07	1570.0
TCGA-D8-A1XU-01A-11R-A14M-07	1570.0
TCGA-A3-3347-01A-02R-1325-07	1571.0
TCGA-CJ-5677-01A-11R-1541-07	1571.0
TCGA-BH-A204-01A-11R-A157-07	1572.0
TCGA-06-0750-01A-01R-1849-01	1573.0
TCGA-12-1597-01B-01R-1849-01	1573.0
TCGA-BP-4337-01A-01R-1289-07	1573.0
TCGA-06-2557-01A-01R-1849-01	1575.0
TCGA-13-0893-01B-01R-1565-13	1575.0
TCGA-44-6147-01A-11R-1755-07	1575.0
TCGA-A2-A0SX-01A-12R-A084-07	1575.0
TCGA-BP-5194-01A-02R-1426-07	1575.0
TCGA-CV-6933-01A-11R-1915-07	1575.0
TCGA-34-7107-01A-11R-1949-07	1576.0
TCGA-CJ-4637-01A-02R-1325-07	1576.0
TCGA-D1-A16S-01A-11R-A12I-07	1576.0
TCGA-21-1070-01A-01R-0692-07	1577.0
TCGA-29-1705-01A-01R-1567-13	1577.0
TCGA-A8-A076-01A-21R-A00Z-07	1577.0
TCGA-33-4538-01A-01R-1201-07	1578.0
TCGA-76-4931-01A-01R-1850-01	1578.0
TCGA-A8-A06O-01A-11R-A00Z-07	1578.0
TCGA-GV-A3JX-01A-11R-A20F-07	1578.0
TCGA-63-7021-01A-11R-1949-07	1579.0
TCGA-79-5596-01A-31R-1949-07	1579.0
TCGA-BP-4761-01A-01R-1289-07	1579.0
TCGA-CN-5370-01A-01R-2016-07	1579.0
TCGA-23-1114-01B-01R-1566-13	1580.0
TCGA-AB-2999-03B-01T-0748-13	1581.0
TCGA-C8-A26W-01A-11R-A16F-07	1582.0
TCGA-CN-5358-01A-01R-1514-07	1582.0
TCGA-CR-7367-01A-11R-2016-07	1582.0
TCGA-19-5960-01A-11R-1850-01	1583.0
TCGA-60-2725-01A-01R-1201-07	1583.0
TCGA-06-0130-01A-01R-1849-01	1584.0
TCGA-B0-4846-01A-01R-1277-07	1584.0
TCGA-FD-A3B3-01A-12R-A206-07	1584.0
TCGA-06-0747-01A-01R-1849-01	1585.0
TCGA-69-7978-01A-11R-2187-07	1585.0
TCGA-A3-3378-01A-02R-1325-07	1587.0
TCGA-B0-4836-01A-01R-1305-07	1587.0
TCGA-D8-A27K-01A-11R-A16F-07	1587.0
TCGA-BP-4354-01A-02R-1289-07	1588.0
TCGA-BH-A209-01A-11R-A157-07	1589.0
TCGA-CN-6022-01A-21R-1686-07	1589.0
TCGA-06-2570-01A-01R-1849-01	1590.0
TCGA-66-2777-01A-01R-1201-07	1590.0
TCGA-66-2785-01A-01R-0851-07	1590.0
TCGA-AK-3465-01A-02R-1325-07	1591.0
TCGA-B0-4690-01A-01R-1277-07	1591.0
TCGA-37-4129-01A-01R-1100-07	1592.0
TCGA-75-7027-01A-11R-1949-07	1592.0
TCGA-D8-A1JG-01B-11R-A13Q-07	1592.0
TCGA-32-4213-01A-01R-1850-01	1593.0
TCGA-CJ-4878-01A-01R-1305-07	1593.0
TCGA-CV-6939-01A-11R-1915-07	1593.0
TCGA-CV-7410-01A-21R-2081-07	1593.0
TCGA-23-2077-01A-01R-1568-13	1594.0
TCGA-AB-2805-03A-01T-0734-13	1594.0
TCGA-AB-2834-03A-01T-0734-13	1594.0
TCGA-D8-A1JL-01A-11R-A13Q-07	1594.0
TCGA-E2-A1LI-01A-12R-A157-07	1594.0
TCGA-A8-A07U-01A-11R-A034-07	1595.0
TCGA-AB-2814-03A-01T-0734-13	1595.0
TCGA-AR-A1AW-01A-21R-A12P-07	1596.0
TCGA-49-4501-01A-01R-1206-07	1597.0
TCGA-97-8175-01A-11R-2287-07	1597.0
TCGA-GV-A3QG-01A-11R-A220-07	1597.0
TCGA-19-0957-02A-11R-2005-01	1598.0
TCGA-06-5416-01A-01R-1849-01	1599.0
TCGA-22-4596-01A-01R-1201-07	1599.0
TCGA-32-2638-01A-01R-1850-01	1599.0
TCGA-57-1584-01A-01R-1566-13	1599.0
TCGA-AB-2972-03A-01T-0734-13	1599.0
TCGA-BP-4176-01A-02R-1289-07	1599.0
TCGA-26-5132-01A-01R-1850-01	1600.0
TCGA-60-2711-01A-01R-0851-07	1600.0
TCGA-06-2558-01A-01R-1849-01	1601.0
TCGA-29-1703-01A-01R-1567-13	1601.0
TCGA-32-2616-01A-01R-1850-01	1601.0
TCGA-CN-5356-01A-01R-1436-07	1601.0
TCGA-34-5234-01A-01R-1635-07	1602.0
TCGA-83-5908-01A-21R-2287-07	1602.0
TCGA-AB-2822-03A-01T-0734-13	1602.0
TCGA-39-5034-01A-01R-1443-07	1603.0
TCGA-AB-2857-03A-01T-0736-13	1603.0
TCGA-BP-4161-01A-02R-1325-07	1603.0
TCGA-B0-5402-01A-01R-1503-07	1604.0
TCGA-B0-5697-01A-11R-1541-07	1604.0
TCGA-D8-A27V-01A-12R-A17B-07	1604.0
TCGA-29-1778-01A-01R-1567-13	1605.0
TCGA-BP-4349-01A-01R-1289-07	1605.0
TCGA-CV-7261-01A-11R-2016-07	1605.0
TCGA-D8-A27R-01A-11R-A16F-07	1605.0
TCGA-66-2727-01A-01R-0980-07	1606.0
TCGA-73-4677-01A-01R-1206-07	1606.0
TCGA-A3-3331-01A-02R-1325-07	1606.0
TCGA-CJ-4891-01A-01R-1305-07	1606.0
TCGA-29-1770-01A-01R-1567-13	1607.0
TCGA-55-8206-01A-11R-2241-07	1607.0
TCGA-D8-A1XM-01A-21R-A14M-07	1607.0
TCGA-13-1489-02A-01R-1565-13	1608.0
TCGA-BP-5189-01A-02R-1426-07	1608.0
TCGA-24-2026-01A-01R-1567-13	1609.0
TCGA-55-8090-01A-11R-2241-07	1609.0
TCGA-73-4659-01A-01R-1206-07	1609.0
TCGA-66-2763-01A-01R-0851-07	1610.0
TCGA-93-7348-01A-21R-2039-07	1610.0
TCGA-B0-4703-01A-01R-1277-07	1610.0
TCGA-06-5412-01A-01R-1849-01	1612.0
TCGA-19-2619-01A-01R-1850-01	1612.0
TCGA-AB-2903-03A-01T-0734-13	1612.0
TCGA-AR-A2LM-01A-11R-A180-07	1612.0
TCGA-BH-A0E9-01B-11R-A115-07	1613.0
TCGA-66-2756-01A-01R-0851-07	1614.0
TCGA-66-2771-01A-01R-0980-07	1614.0
TCGA-A8-A08J-01A-11R-A00Z-07	1614.0
TCGA-CW-5590-01A-01R-1541-07	1614.0
TCGA-22-0940-01A-01R-0692-07	1615.0
TCGA-94-7033-01A-11R-1949-07	1615.0
TCGA-A8-A07O-01A-11R-A00Z-07	1615.0
TCGA-BA-6868-01B-12R-1915-07	1615.0
TCGA-EW-A1PE-01A-11R-A144-07	1615.0
TCGA-06-2569-01A-01R-1849-01	1616.0
TCGA-66-2754-01A-01R-0980-07	1616.0
TCGA-E9-A229-01A-31R-A157-07	1616.0
TCGA-06-0190-01A-01R-1849-01	1617.0
TCGA-06-2561-01A-02R-1849-01	1617.0
TCGA-55-7913-01B-11R-2241-07	1617.0
TCGA-61-1724-01A-01R-1568-13	1617.0
TCGA-12-0821-01A-01R-1849-01	1618.0
TCGA-A8-A09I-01A-22R-A034-07	1618.0
TCGA-09-1667-01C-01R-1566-13	1619.0
TCGA-AB-2890-03A-01T-0735-13	1619.0
TCGA-AB-2990-03B-01T-0748-13	1619.0
TCGA-DV-5576-01A-01R-1541-07	1619.0
TCGA-06-0132-01A-02R-1849-01	1620.0
TCGA-25-1627-01A-01R-1566-13	1620.0
TCGA-05-4430-01A-02R-1206-07	1621.0
TCGA-22-1012-01A-01R-0692-07	1621.0
TCGA-76-4925-01A-01R-1850-01	1621.0
TCGA-A3-3319-01A-02R-1325-07	1621.0
TCGA-AN-A0FX-01A-11R-A034-07	1621.0
TCGA-AR-A1AX-01A-11R-A12P-07	1621.0
TCGA-AN-A0AJ-01A-11R-A00Z-07	1622.0
TCGA-09-2044-01B-01R-1568-13	1623.0
TCGA-AR-A0TS-01A-11R-A115-07	1623.0
TCGA-C8-A1HI-01A-11R-A137-07	1623.0
TCGA-AB-2819-03A-01T-0734-13	1624.0
TCGA-BP-5198-01A-01R-1426-07	1624.0
TCGA-51-4079-01A-01R-1100-07	1625.0
TCGA-EW-A1PF-01A-11R-A144-07	1625.0
TCGA-CJ-5683-01A-11R-1541-07	1626.0
TCGA-CW-5583-01A-02R-1541-07	1626.0
TCGA-CZ-4864-01A-01R-1503-07	1626.0
TCGA-AB-2998-03A-01T-0735-13	1627.0
TCGA-CJ-4884-01A-01R-1305-07	1627.0
TCGA-CN-4740-01A-01R-1436-07	1627.0
TCGA-44-2668-01A-01R-0946-07	1628.0
TCGA-BP-4330-01A-01R-1289-07	1628.0
TCGA-06-0645-01A-01R-1849-01	1629.0
TCGA-B6-A1KC-01B-11R-A157-07	1629.0
TCGA-22-4591-01A-01R-1201-07	1630.0
TCGA-AB-2812-03A-01T-0734-13	1631.0
TCGA-AB-2966-03A-01T-0734-13	1631.0
TCGA-22-5482-01A-01R-1635-07	1632.0
TCGA-44-2661-01A-01R-1107-07	1632.0
TCGA-56-5897-01A-11R-1635-07	1632.0
TCGA-C8-A132-01A-31R-A115-07	1632.0
TCGA-66-2744-01A-01R-0980-07	1633.0
TCGA-69-8253-01A-11R-2287-07	1633.0
TCGA-76-4926-01B-01R-1850-01	1633.0
TCGA-B6-A0RT-01A-21R-A084-07	1633.0
TCGA-C8-A134-01A-11R-A115-07	1633.0
TCGA-CJ-4872-01A-01R-1305-07	1633.0
TCGA-02-0047-01A-01R-1849-01	1634.0
TCGA-CR-7404-01A-11R-2132-07	1634.0
TCGA-BP-4959-01A-01R-1334-07	1635.0
TCGA-E9-A1QZ-01A-21R-A169-07	1635.0
TCGA-AK-3455-01A-01R-0864-07	1636.0
TCGA-BB-4228-01A-01R-1436-07	1636.0
TCGA-BH-A1EX-01A-11R-A13Q-07	1636.0
TCGA-E2-A1L6-01A-11R-A13Q-07	1636.0
TCGA-46-6025-01A-11R-1820-07	1637.0
TCGA-AC-A2B8-01A-11R-A17B-07	1637.0
TCGA-B0-5115-01A-01R-1420-07	1637.0
TCGA-CR-7388-01A-11R-2016-07	1637.0
TCGA-41-5651-01A-01R-1850-01	1638.0
TCGA-69-7980-01A-11R-2187-07	1638.0
TCGA-CV-7178-01A-21R-2016-07	1638.0
TCGA-A2-A0T7-01A-21R-A084-07	1639.0
TCGA-AB-2935-03A-01T-0740-13	1639.0
TCGA-B0-5107-01A-01R-1420-07	1639.0
TCGA-CJ-4636-01A-02R-1325-07	1639.0
TCGA-D8-A147-01A-11R-A115-07	1639.0
TCGA-AN-A0AT-01A-11R-A034-07	1640.0
TCGA-AN-A0FY-01A-11R-A034-07	1641.0
TCGA-CJ-4641-01A-02R-1325-07	1641.0
TCGA-30-1718-01A-01R-1567-13	1642.0
TCGA-44-7661-01A-11R-2066-07	1642.0
TCGA-99-8028-01A-11R-2241-07	1642.0
TCGA-CN-4737-01A-01R-1436-07	1642.0
TCGA-BP-5202-01A-02R-1426-07	1643.0
TCGA-13-0920-01A-01R-1564-13	1644.0
TCGA-06-0211-02A-02R-2005-01	1645.0
TCGA-AB-2914-03A-01T-0734-13	1645.0
TCGA-B0-4697-01A-01R-1277-07	1646.0
TCGA-B0-5109-01A-02R-1420-07	1646.0
TCGA-CV-7422-01A-21R-2081-07	1646.0
TCGA-34-5240-01A-01R-1443-07	1647.0
TCGA-46-3765-01A-01R-0980-07	1648.0
TCGA-AB-2955-03A-01T-0734-13	1648.0
TCGA-D8-A142-01A-11R-A115-07	1648.0
TCGA-CR-7371-01A-11R-2016-07	1649.0
TCGA-CV-6936-01A-11R-1915-07	1649.0
TCGA-44-4112-01A-01R-1107-07	1650.0
TCGA-49-4510-01A-01R-1206-07	1650.0
TCGA-A2-A1FV-01A-11R-A13Q-07	1650.0
TCGA-AB-2985-03A-01T-0734-13	1650.0
TCGA-B0-5699-01A-11R-1541-07	1650.0
TCGA-D8-A145-01A-11R-A115-07	1650.0
TCGA-E9-A1N3-01A-12R-A157-07	1650.0
TCGA-E9-A22D-01A-11R-A157-07	1650.0
TCGA-43-5668-01A-01R-1635-07	1651.0
TCGA-66-2800-01A-01R-1201-07	1651.0
TCGA-BH-A1F8-01A-11R-A13Q-07	1651.0
TCGA-BH-A28Q-01A-11R-A16F-07	1651.0
TCGA-06-2565-01A-01R-1849-01	1652.0
TCGA-AB-2891-03A-01T-0735-13	1653.0
TCGA-55-8085-01A-11R-2241-07	1654.0
TCGA-E2-A159-01A-11R-A115-07	1654.0
TCGA-90-6837-01A-11R-1949-07	1655.0
TCGA-A2-A0CQ-01A-21R-A034-07	1655.0
TCGA-A2-A1FX-01A-11R-A13Q-07	1655.0
TCGA-AB-2815-03A-01T-0734-13	1655.0
TCGA-AX-A2HK-01A-11R-A17B-07	1655.0
TCGA-06-5856-01A-01R-1849-01	1656.0
TCGA-55-7284-01B-11R-2241-07	1656.0
TCGA-77-6845-01A-11R-1949-07	1656.0
TCGA-A3-3385-01A-02R-1420-07	1656.0
TCGA-BH-A1FE-01A-11R-A13Q-07	1656.0
TCGA-CV-6941-01A-11R-1915-07	1656.0
TCGA-E9-A1RI-01A-11R-A169-07	1656.0
TCGA-EW-A2FV-01A-11R-A17B-07	1656.0
TCGA-06-0184-01A-01R-1849-01	1657.0
TCGA-33-4582-01A-01R-1443-07	1657.0
TCGA-B0-4838-01A-01R-1305-07	1657.0
TCGA-41-4097-01A-01R-1850-01	1658.0
TCGA-AO-A0JG-01A-31R-A084-07	1658.0
TCGA-D8-A1J9-01A-11R-A13Q-07	1658.0
TCGA-29-1781-01A-01R-1567-13	1659.0
TCGA-D1-A1NX-01A-11R-A16F-07	1659.0
TCGA-32-2632-01A-01R-1850-01	1660.0
TCGA-05-4249-01A-01R-1107-07	1661.0
TCGA-10-0928-01A-02R-1564-13	1661.0
TCGA-21-5784-01A-01R-1635-07	1661.0
TCGA-44-6778-01A-11R-1858-07	1661.0
TCGA-A2-A259-01A-11R-A16F-07	1661.0
TCGA-AR-A254-01A-21R-A169-07	1661.0
TCGA-CN-4735-01A-01R-1436-07	1661.0
TCGA-33-4586-01A-01R-1443-07	1662.0
TCGA-05-4420-01A-01R-1206-07	1663.0
TCGA-09-0367-01A-01R-1564-13	1663.0
TCGA-64-1679-01A-21R-2066-07	1663.0
TCGA-AC-A2FK-01A-12R-A180-07	1663.0
TCGA-B0-4701-01A-01R-1277-07	1663.0
TCGA-B2-4102-01A-02R-1325-07	1663.0
TCGA-BP-4332-01A-01R-1289-07	1663.0
TCGA-CZ-5464-01A-01R-1503-07	1663.0
TCGA-18-3412-01A-01R-0980-07	1664.0
TCGA-28-5207-01A-01R-1850-01	1664.0
TCGA-C8-A1HJ-01A-11R-A13Q-07	1664.0
TCGA-CJ-5684-01A-11R-1541-07	1664.0
TCGA-CN-5355-01A-01R-1436-07	1665.0
TCGA-21-1071-01A-01R-0692-07	1666.0
TCGA-67-3771-01A-01R-0946-07	1666.0
TCGA-A2-A0CL-01A-11R-A115-07	1666.0
TCGA-A8-A06N-01A-11R-A00Z-07	1666.0
TCGA-AB-2880-03A-01T-0735-13	1666.0
TCGA-CX-7085-01A-21R-2016-07	1666.0
TCGA-A3-3362-01A-02R-1325-07	1667.0
TCGA-AB-2996-03A-01T-0735-13	1667.0
TCGA-14-0781-01B-01R-1849-01	1668.0
TCGA-29-1701-01A-01R-1567-13	1668.0
TCGA-66-2742-01A-01R-0980-07	1668.0
TCGA-B0-4814-01A-01R-1277-07	1668.0
TCGA-B0-5113-01A-01R-1420-07	1668.0
TCGA-EW-A1IY-01A-11R-A13Q-07	1668.0
TCGA-37-3792-01A-01R-0980-07	1669.0
TCGA-E9-A22H-01A-11R-A157-07	1669.0
TCGA-GV-A3QI-01A-11R-A220-07	1669.0
TCGA-A8-A07G-01A-11R-A034-07	1670.0
TCGA-AR-A24O-01A-11R-A169-07	1670.0
TCGA-CJ-4889-01A-01R-1305-07	1670.0
TCGA-D8-A27W-01A-11R-A16F-07	1670.0
TCGA-05-4244-01A-01R-1107-07	1672.0
TCGA-66-2757-01A-01R-0851-07	1672.0
TCGA-BS-A0U5-01A-11R-A109-07	1673.0
TCGA-26-5133-01A-01R-1850-01	1674.0
TCGA-86-8281-01A-11R-2287-07	1674.0
TCGA-AB-2942-03A-01T-0734-13	1674.0
TCGA-BP-5175-01A-01R-1426-07	1675.0
TCGA-CV-5443-01A-01R-1514-07	1675.0
TCGA-A2-A1G1-01A-21R-A13Q-07	1676.0
TCGA-23-1109-01A-01R-1564-13	1677.0
TCGA-29-1696-01A-01R-1567-13	1677.0
TCGA-66-2787-01A-01R-0980-07	1677.0
TCGA-75-6214-01A-41R-1949-07	1677.0
TCGA-AO-A03P-01A-11R-A00Z-07	1677.0
TCGA-66-2759-01A-01R-0851-07	1678.0
TCGA-A3-3323-01A-02R-1325-07	1678.0
TCGA-B8-5549-01A-01R-1541-07	1678.0
TCGA-24-2023-01A-01R-1567-13	1679.0
TCGA-B0-5095-01A-01R-1420-07	1679.0
TCGA-CN-5367-01A-01R-1436-07	1679.0
TCGA-A8-A0A7-01A-11R-A00Z-07	1680.0
TCGA-AC-A2FO-01A-11R-A180-07	1680.0
TCGA-CR-7370-01A-11R-2132-07	1680.0
TCGA-77-6843-01A-11R-1949-07	1681.0
TCGA-CJ-4635-01A-02R-1305-07	1681.0
TCGA-18-5595-01A-01R-1635-07	1682.0
TCGA-BH-A0BW-01A-11R-A115-07	1682.0
TCGA-BP-4777-01A-01R-1289-07	1682.0
TCGA-BP-4976-01A-01R-1334-07	1682.0
TCGA-CV-5431-01A-01R-1514-07	1682.0
TCGA-DQ-7592-01A-11R-2081-07	1682.0
TCGA-BP-4340-01A-01R-1289-07	1683.0
TCGA-13-0801-01A-01R-1564-13	1684.0
TCGA-E9-A1RC-01A-11R-A157-07	1684.0
TCGA-27-2519-01A-01R-1850-01	1685.0
TCGA-33-6738-01A-11R-1949-07	1685.0
TCGA-76-4928-01B-01R-1850-01	1685.0
TCGA-A7-A26J-01A-11R-A169-07	1686.0
TCGA-A8-A085-01A-11R-A00Z-07	1686.0
TCGA-AB-2828-03A-01T-0734-13	1686.0
TCGA-CR-6488-01A-12R-2081-07	1686.0
TCGA-BH-A0C7-01B-11R-A115-07	1688.0
TCGA-CR-6484-01A-11R-1873-07	1688.0
TCGA-66-2755-01A-01R-0851-07	1689.0
TCGA-A2-A0YK-01A-22R-A109-07	1689.0
TCGA-A8-A06Z-01A-11R-A00Z-07	1689.0
TCGA-02-2485-01A-01R-1849-01	1690.0
TCGA-24-1417-01A-01R-1565-13	1690.0
TCGA-AO-A1KO-01A-31R-A13Q-07	1690.0
TCGA-GM-A2DF-01A-11R-A180-07	1691.0
TCGA-55-8207-01A-11R-2241-07	1692.0
TCGA-A2-A0EY-01A-11R-A034-07	1692.0
TCGA-DK-A1AB-01A-11R-A13Y-07	1692.0
TCGA-06-0882-01A-01R-1849-01	1693.0
TCGA-06-2562-01A-01R-1849-01	1693.0
TCGA-06-5418-01A-01R-1849-01	1693.0
TCGA-76-4929-01A-01R-1850-01	1693.0
TCGA-A3-3308-01A-02R-1325-07	1693.0
TCGA-06-0174-01A-01R-1849-01	1694.0
TCGA-G2-A2EL-01A-12R-A18C-07	1694.0
TCGA-GV-A3JZ-01A-11R-A21D-07	1694.0
TCGA-22-4607-01A-01R-1201-07	1696.0
TCGA-BH-A1F5-01A-12R-A13Q-07	1696.0
TCGA-44-2657-01A-01R-1107-07	1697.0
TCGA-A2-A04Q-01A-21R-A034-07	1697.0
TCGA-AB-2885-03A-01T-0735-13	1697.0
TCGA-B2-3923-01A-02R-1325-07	1697.0
TCGA-BA-4074-01A-01R-1436-07	1697.0
TCGA-06-5413-01A-01R-1849-01	1698.0
TCGA-50-7109-01A-11R-2039-07	1698.0
TCGA-A8-A07F-01A-11R-A00Z-07	1698.0
TCGA-BT-A3PK-01A-21R-A220-07	1698.0
TCGA-E2-A158-01A-11R-A12D-07	1698.0
TCGA-06-0178-01A-01R-1849-01	1699.0
TCGA-28-5216-01A-01R-1850-01	1699.0
TCGA-56-1622-01A-01R-0692-07	1699.0
TCGA-AB-2816-03A-01T-0734-13	1699.0
TCGA-AB-3012-03A-01T-0736-13	1699.0
TCGA-BH-A18R-01A-11R-A12D-07	1699.0
TCGA-CR-6471-01A-11R-1873-07	1699.0
